location,name,description,hours_op,dresscode,address,neighborhood,phone-number,website,city_id,pricing,,cuisine type,num stars,num_of_views
Portland,Wagokoro Shunsai,"The master chef carefully selects seasonal ingredients from all over Japan and cooks them with his skillful techniques obtained through rich experiences. At the counter seats, you can enjoy a culinary stage, where your senses are stimulated by his Japanese techniques obtained through cha-kaiseki (traditional Japanese cuisine for tea ceremonies) and kappo (traditional Japanese cuisine) restaurants. He serves a piece of savory sushi directly from his hand, to deliver the ultimate feelings of presence as well.",SUN-THURS: 3:00 PM - 10:30 PM / FRI-SAT: 3:00 PM - 11:30 PM; (visit website for holiday hours),Casual,788 Hog Camp Road,Pearl District,(503) 418-8627,,4,2,,,4,0
Portland,Verdana Soul,"Lounge to live music, sing to karaoke, relax in our speakeasy or enjoy the open dance floor with your friends. Seasonal menu selection",MON-FRI: 2:00 PM - 11:00 PM / SAT-SUN: 9:00 AM - 11:00 PM; (visit website for holiday hours),Casual,4522 Francis Mine,Multnomah Village,(503) 725-3388,,4,2,,,4,0
Portland,Bourbon Bicycle Club,"Specializing in rum, rum tours, wood fired pizza, salad, and house made sodas.","TUES, WED, THURS: 7:00 AM - 9:00 PM / FRI-SAT: 12:00 PM - 12:00 AM / SUN-MON: (closed); (visit website for holiday hours)",Casual,4948 Rhapsody Street,Piedmont,(503) 725-3388,,4,2,,,4,0
Portland,Curryous,Indian/ French fusion restaurant. Chef Piere Moto is a gastro scientist wizard who studied the culinary arts in Chicago. These dishes are as visually appealing as they are tasty. ,MON-FRI: 2:00 PM - 11:00 PM / SAT-SUN: 9:00 AM - 11:00 PM,Casual,1344 Clinton Street,Woodlawn,(503) 418-8627,,4,5,,,4,0
Portland,Townsends Tasting,"Townsends teahouse / distillary has finally expanded into the restaurant business. and the locals are so glad that they did. Their grand opening pulled in fans from far and wide. Chef Fredrick Pain explores dishes from Appalacia. In a bizarre way, this food pairs well with all the beverages they have on the menu. Come and see for yourself!",MON-FRI: 2:00 PM - 11:00 PM / SAT-SUN: 9:00 AM - 11:00 PM; (visit website for holiday hours),Casual,1633 Pride Avenue,Wilkes,(503) 725-3388,,4,2,,,4,0
Portland,Veggies,Tasty deep fried tofu is the bomb! This restaurant has been featured on Guy Fieri's dives and diners. This is the only vegan restaurant in town and it's great,"TUES, WED, THURS: 7:00 AM - 9:00 PM / FRI-SAT: 12:00 PM - 12:00 AM / SUN-MON: (closed)",Casual,2351 Wiseman Street,Old Town,(503) 725-3388,,4,2,,,4,0
Portland,Susan's Salads,"	
We have several breakfast hash that are vegetarian- Sweet Potato, Smokey Spicy Sweet Potato, Huevos Rancheros, Waffles, Breakfast Salad. We have salads that are vegetarian, and rotating sandwiches as well. Soups are often vegetarian.","TUES, WED, THURS: 7:00 AM - 9:00 PM / FRI-SAT: 12:00 PM - 12:00 AM / SUN-MON: (closed); (visit website for holiday hours)",Casual,2707 Griffin Street,Montavilla,(503) 418-8627,,4,1,,,4,0
Portland,Coffee Beans Cafe,"Sourcing Local Ingredients for European Inspired Pastries, Quality Espresso Drinks, Weekend Dinner. ",MON-TUES: (closed) / WED-THURS: 2:00 PM - 10:00PM,Casual,2376 Ashmor Drive,Concordia,(503) 725-3388,,4,2,,,4,0
Portland,VINO,"At VINO, we've created a unique and charming dining setting reminiscent of an authentic Italian Enoteca: a colorful, casual, rustic wine bar. We offer 20 wines by the glass, each specifically selected by our very own Master Sean Durnin. Wines are offered in both 2-ounce and 5-ounce servings. The tasting portions enable you to try more than one or two wines...create a flight of wines and taste them side by side. We feature wines produced from indigenous grape varieties, providing a sense of culture and heritage for a true taste of Italy and around the world.",MON-TUES: (closed) / WED-THURS: 2:00 PM - 10:00PM; (visit website for holiday hours),Casual,712 Rainbow Road,Maplewood,(503) 725-3388,,4,2,,,4,0
Portland,Minnies,"We offer a value experience during the day with cashiers and gourmet plate lunches in ""green"" styrofoam plates, we have our own fish market with a poke bar and our home smoked fish. A night we offer full service with a full bar and ""plein air"" dining by harbor lights. If fish is your passion, please check us out.",SUN-MON: 12:00 PM - 11:30 PM ,Casual,1446 Khale Street,Downtown,(503) 418-8627,,4,2,,,4,0
Portland,Sweet Tooth,"We specialize in cakes for all occasions, desserts and breakfast pastries. Some our daily offerings are croissants, cinnamon rolls, quiche, eclairs, cupcakes, ice cream, brownies, and petit fours. We also serve cakes, cheesecakes and pies by the slice.",SUN-MON: 12:00 PM - 11:30 PM; (visit website for holiday hours),Casual,1707 Clement Street,Hazelwood,(503) 725-3388,,4,2,,,4,0
Portland,Pepe Pomodoro,"Focusing on sustainable local organic practices, We are proud to offer fresh organic pasta dishes prepared with love and integrity. ""Where old-world flavors meet new-school tastes. Join us for lunch or dinner or take home some fresh pasta to cook yourself.",MON-THURS: 5:30 PM - 10:30PM / FRI-SAT: 3:30 PM - 12:00AM / SUN: (closed),Casual,687 White Avenue,Wilkes,(503) 725-3388,,4,2,,,4,0
Chicago,Dot.,"Our broth and noodles are made fresh everyday to make the best ramen possible for our customers. Miso (vegetarian option), Shoyu (soy sauce) and Shio (salt) soups are the three bases used for our ramen. The options for toppings include bamboo, bean sprouts, butter, corn, green beans, green onions, marinated pork, nin-niku (blended garlic) and wakame (seaweed). Gyoza, also known as Potsickers, are handmade daily and are the favorite of many.",MON-THURS: 5:30 PM - 10:30PM / FRI-SAT: 3:30 PM - 12:00AM / SUN: (closed); (visit website for holiday hours),Casual,1987 Cheshire Road,Logan Square,(312) 798-3898,,5,2,,,4,0
Chicago,Mame,Japanese small plates. Classic and contemporary cocktails. Burgers and fries. Open late. House made tonkotsu ramen after 11pm nightly!,SUN-THURS: 3:00 PM - 10:30 PM / FRI-SAT: 3:00 PM - 11:30 PM,Casual,1835 Timber Oak Drive,New City,(312) 435-9477,,5,2,,,4,0
Chicago,Moon Pie,"We offer whole pies and slices, fresh & hot New York-style thin crust pizza, and freshly tossed salad delivered to your office, home, meetings or parties. Please come and dine with us today.",SUN-THURS: 3:00 PM - 10:30 PM / FRI-SAT: 3:00 PM - 11:30 PM; (visit website for holiday hours),Casual,423 Doctors Drive,Avondale,(312) 563-7799,,5,2,,,4,0
Chicago,Luigi's Pub,"Inspired by the farms, vineyards and waters of the Pacific Northwest where we started our first restaurant 20 years ago, we are dedicated to serving up two of life's greatest pleasures... pasta and wine. We love how a steaming bowl of pasta warms your hands as well as your spirits.",MON-FRI: 2:00 PM - 11:00 PM / SAT-SUN: 9:00 AM - 11:00 PM,Casual,115 Randall Drive,Montclare,(312) 807-0504,,5,1,,,4,0
Chicago,Yoshitsune Restaurant,"The ingredients are carefully selected directly at the production sites, and cooked to emphasize their natural tastes and flavors, with which you can feel the change of the season with your five senses. Their main dishes include steak and shabu-shabu (sliced meat parboiled with vegetables) with specially-selected A5-rank Japanese beef, mainly from Miyazaki, Saga, Sanda, and Omi",MON-THURS: 5:30 PM - 10:30PM / FRI-SAT: 3:30 PM - 12:00AM / SUN: (closed),Casual,2151 Woodlawn Drive,Lakeview,(312) 435-9477,,5,5,,,4,0
Chicago,Crooked Spoke ,"Welcome to our full scale pub with a dedicated emphasis on local sustainability, embracing the idea of preservation and conservation. We offer our guests a well thought and constructed menu of food, craft beer, wine, full bar with specialty cocktails, and nightly events utilizing as many local products as we can. We are dedicated to minimizing our footprint on many levels...being locally sourced, maximizing the products delivered to us, preservation of product via canning and utilization, as well as choosing compostable materials.","TUES, WED, THURS: 7:00 AM - 9:00 PM / FRI-SAT: 12:00 PM - 12:00 AM / SUN-MON: (closed)",Casual,3928 Hazelwood Avenue,Lincoln Square,(312) 563-7799,,5,2,,,4,0
Chicago,Dirty Chai,"Loose leaf teas, chais, matcha, boba, kombucha, tea lattes, and all the snacks.","TUES, WED, THURS: 7:00 AM - 9:00 PM / FRI-SAT: 12:00 PM - 12:00 AM / SUN-MON: (closed); (visit website for holiday hours)",Casual,99 Jerry Toth Drive,Bridgeport,(312) 807-0504,,5,2,,,4,0
Chicago,Bite,"Pre-prohibition and craft cocktails, warm comfy atmosphere with European inspired village food and friendly attentive service.",SUN-MON: 12:00 PM - 11:30 PM ,Casual,1588 Woodstock Drive,Lakeview,(312) 798-3898,,5,2,,,4,0
Chicago,Salami,"Fresh daily meats, 7 days a week!",SUN-MON: 12:00 PM - 11:30 PM; (visit website for holiday hours),Casual,4742 Willow Greene Drive,Montclare,(312) 435-9477,,5,1,,,4,0
Austin,Baseline Brunch,"We opened our doors in 2015, but Baseline Brunch is the culmination of a 20 year dream to bring scratch-made, homestyle dining to the people of Austin.","TUES, WED, THURS: 7:00 AM - 9:00 PM / FRI-SAT: 12:00 PM - 12:00 AM / SUN-MON: (closed)",Casual,4367 Ritter Street,Parker Lane,(512) 555-0136,,6,1,,,4,0
Austin,Dermot's Diner,1 word: waffles!! Voted best breakfast in town 15 years in a row.,SUN-MON: 12:00 PM - 11:30 PM ,Casual,2502 Perry Street,South Lamar,(512) 555-0137,,6,2,,,4,0
Austin,Bellie,We offer a lg unique variety of burgers and buns and for those of age they can be paired with a delicious beer or wine. Also plenty of chicken and options for kids,MON-TUES: (closed) / WED-THURS: 2:00 PM - 10:00PM,Casual,539 Hayhurst Lane,South Lamar,(512) 555-0169,,6,2,,,4,0
Austin,Ginger Spice,Our brewery is the first of its kind - 20 ginger beers offered on tap and seating in the ginger beer garden where you can grab a bite from the Thai food cart.,MON-TUES: (closed) / WED-THURS: 2:00 PM - 10:00PM; (visit website for holiday hours),Casual,2484 Carriage Lane,Allandale,(512) 555-0161,,6,2,,,4,0
Austin,Belgium Brewery,"Brewery with a restaurant attached. Or restaurant with brewery attached? Relaxed vibe, fun games, and all the cider.",SUN-MON: 12:00 PM - 11:30 PM ,Casual,2807 Jarvisville Road,Zilker,(512) 555-0136,,6,2,,,4,0
Austin,Ophelias,"Established 1985, sportsbar with seating. Neighborhood place with friendly faces and a great beer selection.",SUN-MON: 12:00 PM - 11:30 PM; (visit website for holiday hours),Casual,342 Chicago Avenue,Travis Heights,(512) 555-0137,,6,2,,,4,0
Austin,Mary's Misdemeanor,"We're in the flavor business. It's been our mission to serve the world flavor since we first opened shop in '94, and we're just getting started. Our award winning Chicken wings are always cooked-to-order, handcrafted, sauced, tossed and freshly made",MON-THURS: 5:30 PM - 10:30PM / FRI-SAT: 3:30 PM - 12:00AM / SUN: (closed),Casual,4300 Ocala Street,Windsor Park,(512) 555-0169,,6,2,,,4,0
Austin,The Wave,"The ingredients are carefully selected directly at the production sites, and cooked to emphasize their natural tastes and flavors, with which you can feel the change of the season with your five senses. Their main dishes include steak and shabu-shabu (sliced meat parboiled with vegetables) with specially-selected A5-rank Japanese beef, mainly from Miyazaki, Saga, Sanda, and Omi",MON-THURS: 5:30 PM - 10:30PM / FRI-SAT: 3:30 PM - 12:00AM / SUN: (closed); (visit website for holiday hours),Casual,4121 Kembery Drive,Rosedale,(512) 555-0161,,6,2,,,4,0
Austin,Freedman's,"We're in the flavor business. It's been our mission to serve the world flavor since we first opened shop in '94, and we're just getting started. Our award winning Chicken wings are always cooked-to-order, handcrafted, sauced, tossed and freshly made",SUN-THURS: 3:00 PM - 10:30 PM / FRI-SAT: 3:00 PM - 11:30 PM,Casual,3565 Hott Street,West Lake Hills,(512) 555-0136,,6,2,,,4,0
Austin,The Madhatter,"Enjoy a rotating selection of 24 local craft beers, red & white wines, and ciders -- and pour your own glass from our innovative, self-serve drink wall. Pair your drinks with our delicious South American Fusion menu, which includes empanadas, ahi tacos and chimichurri wings.",SUN-THURS: 3:00 PM - 10:30 PM / FRI-SAT: 3:00 PM - 11:30 PM; (visit website for holiday hours),Casual,2476 Pineview Drive,Ridgetop,(512) 555-0137,,6,3,,,4,0
New York,Niku no Wana,"Come to Niku no Wana and enjoy carefully selected Kuroge Wagyu over a drink or two. You can enjoy a wide variety of dishes with the meat cooked over delicately balanced heat. Go with the [Kuroge Wagyu Salted Hamburg Patty] to fully enjoy the original flavor of the meat. It's one of the most popular dishes here. There is also a good selection of side dishes to go with your meat, like the [Niku Wana Salad]. The course meal featuring their most popular dishes is perfect for banquets and gatherings. There's a great selection of alcohol in their all-you-can-drink option as well.",MON-FRI: 2:00 PM - 11:00 PM / SAT-SUN: 9:00 AM - 11:00 PM,Casual,3873 Aaron Smith Drive,Midtown,(914) 776-1856,,7,4,,,4,0
New York,Official Grilled Cheese,Come check out our selection of 50 grilled cheeses!,MON-FRI: 2:00 PM - 11:00 PM / SAT-SUN: 9:00 AM - 11:00 PM,Casual,1931 Roosevelt Wilson Lane,Upper East Side,(347) 296-1035,,7,1,,,4,0
New York,Fired Up,"We offer whole pies and slices, fresh & hot New York-style thin crust pizza, and freshly tossed salad delivered to your office, home, meetings or parties. Please come and dine with us today.",MON-FRI: 2:00 PM - 11:00 PM / SAT-SUN: 9:00 AM - 11:00 PM; (visit website for holiday hours),Casual,1609 Blane Street,Garment District,(845) 988-9845,,7,2,,,4,0
New York,The TapHouse,"Stylish, cozy cafe in a converted house serving beer, wine & a menu of soups, salads & sandwiches.","TUES, WED, THURS: 7:00 AM - 9:00 PM / FRI-SAT: 12:00 PM - 12:00 AM / SUN-MON: (closed)",Casual,3952 Timberbrook Lane,Murray Hill,(212) 324-2773,,7,2,,,4,0
